Features,comp,Topic,k,Month,protos.random,n,comp1,comp2,Hop,protos,svm,diff,protos.diff,by
BoW,ER-C,ClimateChange,32,Sep,0.6798,10,ER,C,3,0.7326,0.7723,0.0397,0.0528,Ideology
BoW,ER-C,GunControl,4,Apr,0.5164,10,ER,C,3,0.548,0.6464,0.0984,0.0316,Ideology
BoW,ER-C,GunControl,4,Aug,0.5467,10,ER,C,3,0.6286,0.7829,0.1542,0.0819,Ideology
BoW,ER-C,GunControl,4,Feb,0.5604,10,ER,C,3,0.6043,0.7314,0.1272,0.0439,Ideology
BoW,ER-C,GunControl,4,Jan,0.5623,10,ER,C,3,0.6136,0.729,0.1154,0.0513,Ideology
BoW,ER-C,GunControl,4,Jul,0.5565,10,ER,C,3,0.6,0.7187,0.1187,0.0436,Ideology
BoW,ER-C,GunControl,4,Jun,0.5745,10,ER,C,3,0.6078,0.6402,0.0323,0.0333,Ideology
BoW,ER-C,GunControl,4,Mar,0.5568,10,ER,C,3,0.616,0.7316,0.1155,0.0592,Ideology
BoW,ER-C,GunControl,4,May,0.6052,10,ER,C,3,0.5985,0.7159,0.1174,-0.0067,Ideology
BoW,ER-C,GunControl,4,Sep,0.5352,10,ER,C,3,0.612,0.7395,0.1275,0.0767,Ideology
BoW,ER-C,GunControl,8,Apr,0.5397,10,ER,C,3,0.5736,0.6464,0.0728,0.0339,Ideology
BoW,ER-C,GunControl,8,Aug,0.5749,10,ER,C,3,0.6731,0.7829,0.1098,0.0982,Ideology
BoW,ER-C,GunControl,8,Feb,0.5761,10,ER,C,3,0.629,0.7314,0.1024,0.0529,Ideology
BoW,ER-C,GunControl,8,Jan,0.5874,10,ER,C,3,0.6488,0.729,0.0802,0.0614,Ideology
BoW,ER-C,GunControl,8,Jul,0.5867,10,ER,C,3,0.6569,0.7187,0.0618,0.0702,Ideology
BoW,ER-C,GunControl,8,Jun,0.5941,10,ER,C,3,0.6,0.6402,0.0402,0.0059,Ideology
BoW,ER-C,GunControl,8,Mar,0.5909,10,ER,C,3,0.6769,0.7316,0.0547,0.086,Ideology
BoW,ER-C,GunControl,8,May,0.6042,10,ER,C,3,0.6832,0.7159,0.0328,0.079,Ideology
BoW,ER-C,GunControl,8,Sep,0.5516,10,ER,C,3,0.6165,0.7395,0.123,0.0648,Ideology
BoW,ER-C,GunControl,16,Apr,0.5667,10,ER,C,3,0.6211,0.6464,0.0253,0.0544,Ideology
BoW,ER-C,GunControl,16,Aug,0.6091,10,ER,C,3,0.7041,0.7829,0.0788,0.095,Ideology
BoW,ER-C,GunControl,16,Feb,0.5975,10,ER,C,3,0.6719,0.7314,0.0595,0.0745,Ideology
BoW,ER-C,GunControl,16,Jan,0.6361,10,ER,C,3,0.6436,0.729,0.0853,0.0075,Ideology
BoW,ER-C,GunControl,16,Jul,0.6364,10,ER,C,3,0.7179,0.7187,9e-04,0.0814,Ideology
BoW,ER-C,GunControl,16,Jun,0.6118,10,ER,C,3,0.6059,0.6402,0.0343,-0.0059,Ideology
BoW,ER-C,GunControl,16,Mar,0.6527,10,ER,C,3,0.6977,0.7316,0.0338,0.045,Ideology
BoW,ER-C,GunControl,16,May,0.6411,10,ER,C,3,0.6985,0.7159,0.0174,0.0574,Ideology
BoW,ER-C,GunControl,16,Sep,0.6108,10,ER,C,3,0.6526,0.7395,0.0868,0.0418,Ideology
BoW,ER-C,GunControl,32,Apr,0.593,10,ER,C,3,0.6214,0.6464,0.025,0.0283,Ideology
BoW,ER-C,GunControl,32,Aug,0.6435,10,ER,C,3,0.723,0.7829,0.0599,0.0795,Ideology
BoW,ER-C,GunControl,32,Feb,0.6395,10,ER,C,3,0.686,0.7314,0.0454,0.0465,Ideology
BoW,ER-C,GunControl,32,Jan,0.6822,10,ER,C,3,0.6535,0.729,0.0755,-0.0287,Ideology
BoW,ER-C,GunControl,32,Jul,0.7057,10,ER,C,3,0.7285,0.7187,-0.0098,0.0227,Ideology
BoW,ER-C,GunControl,32,Jun,0.6608,10,ER,C,3,0.648,0.6402,-0.0078,-0.0128,Ideology
BoW,ER-C,GunControl,32,Mar,0.7254,10,ER,C,3,0.7156,0.7316,0.016,-0.0099,Ideology
BoW,ER-C,GunControl,32,May,0.6852,10,ER,C,3,0.699,0.7159,0.0169,0.0138,Ideology
BoW,ER-C,GunControl,32,Sep,0.6229,10,ER,C,3,0.6911,0.7395,0.0484,0.0682,Ideology
BoW,ER-C,IllegalImmi,4,Apr,0.5804,10,ER,C,3,0.6795,0.7875,0.108,0.0991,Ideology
BoW,ER-C,IllegalImmi,4,Aug,0.5593,10,ER,C,3,0.6493,0.7164,0.0671,0.09,Ideology
BoW,ER-C,IllegalImmi,4,Feb,0.5799,10,ER,C,3,0.6792,0.7694,0.0902,0.0993,Ideology
BoW,ER-C,IllegalImmi,4,Jan,0.5697,10,ER,C,3,0.6877,0.7823,0.0946,0.1181,Ideology
BoW,ER-C,IllegalImmi,4,Jul,0.5825,10,ER,C,3,0.674,0.7526,0.0786,0.0915,Ideology
BoW,ER-C,IllegalImmi,4,Jun,0.5672,10,ER,C,3,0.6488,0.7174,0.0686,0.0816,Ideology
BoW,ER-C,IllegalImmi,4,Mar,0.6208,10,ER,C,3,0.6952,0.7971,0.1018,0.0745,Ideology
BoW,ER-C,IllegalImmi,4,May,0.595,10,ER,C,3,0.6712,0.757,0.0859,0.0762,Ideology
BoW,ER-C,IllegalImmi,4,Sep,0.595,10,ER,C,3,0.6804,0.7623,0.0819,0.0854,Ideology
BoW,ER-C,IllegalImmi,8,Apr,0.6195,10,ER,C,3,0.6989,0.7875,0.0886,0.0794,Ideology
BoW,ER-C,IllegalImmi,8,Aug,0.5928,10,ER,C,3,0.6793,0.7164,0.0371,0.0864,Ideology
BoW,ER-C,IllegalImmi,8,Feb,0.6174,10,ER,C,3,0.7,0.7694,0.0694,0.0826,Ideology
BoW,ER-C,IllegalImmi,8,Jan,0.6156,10,ER,C,3,0.6798,0.7823,0.1025,0.0642,Ideology
BoW,ER-C,IllegalImmi,8,Jul,0.6145,10,ER,C,3,0.6834,0.7526,0.0692,0.0689,Ideology
BoW,ER-C,IllegalImmi,8,Jun,0.5633,10,ER,C,3,0.6527,0.7174,0.0647,0.0894,Ideology
BoW,ER-C,IllegalImmi,8,Mar,0.6173,10,ER,C,3,0.7555,0.7971,0.0415,0.1382,Ideology
BoW,ER-C,IllegalImmi,8,May,0.5945,10,ER,C,3,0.6825,0.757,0.0745,0.0881,Ideology
BoW,ER-C,IllegalImmi,8,Sep,0.6096,10,ER,C,3,0.7011,0.7623,0.0612,0.0915,Ideology
BoW,ER-C,IllegalImmi,16,Apr,0.6569,10,ER,C,3,0.7346,0.7875,0.0529,0.0777,Ideology
BoW,ER-C,IllegalImmi,16,Aug,0.6314,10,ER,C,3,0.7007,0.7164,0.0157,0.0693,Ideology
BoW,ER-C,IllegalImmi,16,Feb,0.6528,10,ER,C,3,0.7035,0.7694,0.0659,0.0507,Ideology
BoW,ER-C,IllegalImmi,16,Jan,0.6443,10,ER,C,3,0.7004,0.7823,0.0819,0.0562,Ideology
BoW,ER-C,IllegalImmi,16,Jul,0.6554,10,ER,C,3,0.7115,0.7526,0.0411,0.0562,Ideology
BoW,ER-C,IllegalImmi,16,Jun,0.6097,10,ER,C,3,0.6689,0.7174,0.0485,0.0592,Ideology
BoW,ER-C,IllegalImmi,16,Mar,0.6789,10,ER,C,3,0.7527,0.7971,0.0444,0.0738,Ideology
BoW,ER-C,IllegalImmi,16,May,0.6328,10,ER,C,3,0.7003,0.757,0.0568,0.0674,Ideology
BoW,ER-C,IllegalImmi,16,Sep,0.633,10,ER,C,3,0.7256,0.7623,0.0367,0.0926,Ideology
BoW,ER-C,IllegalImmi,32,Apr,0.6878,10,ER,C,3,0.744,0.7875,0.0435,0.0562,Ideology
BoW,ER-C,IllegalImmi,32,Aug,0.6664,10,ER,C,3,0.7057,0.7164,0.0107,0.0393,Ideology
BoW,ER-C,IllegalImmi,32,Feb,0.6889,10,ER,C,3,0.7326,0.7694,0.0368,0.0437,Ideology
BoW,ER-C,IllegalImmi,32,Jan,0.6651,10,ER,C,3,0.727,0.7823,0.0553,0.0619,Ideology
BoW,ER-C,IllegalImmi,32,Jul,0.6677,10,ER,C,3,0.7166,0.7526,0.036,0.0489,Ideology
BoW,ER-C,IllegalImmi,32,Jun,0.6163,10,ER,C,3,0.6784,0.7174,0.039,0.0621,Ideology
BoW,ER-C,IllegalImmi,32,Mar,0.7226,10,ER,C,3,0.752,0.7971,0.0451,0.0293,Ideology
BoW,ER-C,IllegalImmi,32,May,0.6712,10,ER,C,3,0.7223,0.757,0.0347,0.051,Ideology
BoW,ER-C,IllegalImmi,32,Sep,0.6812,10,ER,C,3,0.7391,0.7623,0.0232,0.0579,Ideology
BoW,ER-C,LGBT,4,Apr,0.5607,10,ER,C,3,0.581,0.6497,0.0687,0.0203,Ideology
BoW,ER-C,LGBT,4,Aug,0.5381,10,ER,C,3,0.59,0.6571,0.0671,0.0519,Ideology
BoW,ER-C,LGBT,4,Feb,0.5846,10,ER,C,3,0.6699,0.7172,0.0473,0.0853,Ideology
BoW,ER-C,LGBT,4,Jan,0.5741,10,ER,C,3,0.6729,0.7132,0.0403,0.0988,Ideology
BoW,ER-C,LGBT,4,Jul,0.5518,10,ER,C,3,0.6735,0.7453,0.0719,0.1217,Ideology
BoW,ER-C,LGBT,4,Jun,0.5627,10,ER,C,3,0.6504,0.7225,0.0721,0.0877,Ideology
BoW,ER-C,LGBT,4,Mar,0.5139,10,ER,C,3,0.6047,0.7045,0.0999,0.0907,Ideology
BoW,ER-C,LGBT,4,May,0.5525,10,ER,C,3,0.6429,0.7805,0.1377,0.0904,Ideology
BoW,ER-C,LGBT,4,Sep,0.5432,10,ER,C,3,0.6133,0.6843,0.071,0.0701,Ideology
BoW,ER-C,LGBT,8,Apr,0.5458,10,ER,C,3,0.6168,0.6497,0.0329,0.071,Ideology
BoW,ER-C,LGBT,8,Aug,0.5934,10,ER,C,3,0.5949,0.6571,0.0622,0.0015,Ideology
BoW,ER-C,LGBT,8,Feb,0.5925,10,ER,C,3,0.6643,0.7172,0.0529,0.0718,Ideology
BoW,ER-C,LGBT,8,Jan,0.5954,10,ER,C,3,0.6992,0.7132,0.014,0.1038,Ideology
BoW,ER-C,LGBT,8,Jul,0.5871,10,ER,C,3,0.6815,0.7453,0.0638,0.0945,Ideology
BoW,ER-C,LGBT,8,Jun,0.5923,10,ER,C,3,0.6436,0.7225,0.0789,0.0513,Ideology
BoW,ER-C,LGBT,8,Mar,0.5707,10,ER,C,3,0.6529,0.7045,0.0517,0.0822,Ideology
BoW,ER-C,LGBT,8,May,0.5873,10,ER,C,3,0.6694,0.7805,0.1111,0.0822,Ideology
BoW,ER-C,LGBT,8,Sep,0.5486,10,ER,C,3,0.6535,0.6843,0.0308,0.1049,Ideology
BoW,ER-C,LGBT,16,Apr,0.5729,10,ER,C,3,0.6136,0.6497,0.0361,0.0406,Ideology
BoW,ER-C,LGBT,16,Aug,0.6285,10,ER,C,3,0.613,0.6571,0.0441,-0.0155,Ideology
BoW,ER-C,LGBT,16,Feb,0.6414,10,ER,C,3,0.6733,0.7172,0.0438,0.0319,Ideology
BoW,ER-C,LGBT,16,Jan,0.6479,10,ER,C,3,0.692,0.7132,0.0212,0.044,Ideology
BoW,ER-C,LGBT,16,Jul,0.6218,10,ER,C,3,0.7108,0.7453,0.0345,0.089,Ideology
BoW,ER-C,LGBT,16,Jun,0.6458,10,ER,C,3,0.669,0.7225,0.0535,0.0232,Ideology
BoW,ER-C,LGBT,16,Mar,0.5844,10,ER,C,3,0.6511,0.7045,0.0535,0.0667,Ideology
BoW,ER-C,LGBT,16,May,0.6662,10,ER,C,3,0.7191,0.7805,0.0614,0.053,Ideology
BoW,ER-C,LGBT,16,Sep,0.6156,10,ER,C,3,0.6547,0.6843,0.0295,0.0392,Ideology
BoW,ER-C,LGBT,32,Apr,0.5883,10,ER,C,3,0.6214,0.6497,0.0283,0.0331,Ideology
BoW,ER-C,LGBT,32,Aug,0.6134,10,ER,C,3,0.6564,0.6571,7e-04,0.043,Ideology
BoW,ER-C,LGBT,32,Feb,0.6655,10,ER,C,3,0.7179,0.7172,-7e-04,0.0523,Ideology
BoW,ER-C,LGBT,32,Jan,0.7018,10,ER,C,3,0.7041,0.7132,0.0091,0.0024,Ideology
BoW,ER-C,LGBT,32,Jul,0.6891,10,ER,C,3,0.7272,0.7453,0.0181,0.0382,Ideology
BoW,ER-C,LGBT,32,Jun,0.6742,10,ER,C,3,0.7141,0.7225,0.0084,0.04,Ideology
BoW,ER-C,LGBT,32,Mar,0.6219,10,ER,C,3,0.6839,0.7045,0.0206,0.062,Ideology
BoW,ER-C,LGBT,32,May,0.7116,10,ER,C,3,0.7708,0.7805,0.0097,0.0592,Ideology
BoW,ER-C,LGBT,32,Sep,0.6368,10,ER,C,3,0.6748,0.6843,0.0095,0.0379,Ideology
BoW,C-L,AsylumSeekers,4,Apr,0.5384,10,C,L,2,0.5907,0.68,0.0893,0.0523,Ideology
BoW,C-L,AsylumSeekers,4,Aug,0.5237,10,C,L,2,0.5744,0.6738,0.0994,0.0507,Ideology
BoW,C-L,AsylumSeekers,4,Feb,0.5727,10,C,L,2,0.6477,0.6916,0.0439,0.075,Ideology
BoW,C-L,AsylumSeekers,4,Jan,0.5561,10,C,L,2,0.6443,0.7089,0.0646,0.0881,Ideology
BoW,C-L,AsylumSeekers,4,Jul,0.5313,10,C,L,2,0.5962,0.6899,0.0937,0.0649,Ideology
BoW,C-L,AsylumSeekers,4,Jun,0.5138,10,C,L,2,0.606,0.6906,0.0846,0.0922,Ideology
BoW,C-L,AsylumSeekers,4,Mar,0.5621,10,C,L,2,0.5969,0.6774,0.0805,0.0348,Ideology
BoW,C-L,AsylumSeekers,4,May,0.5362,10,C,L,2,0.5946,0.6974,0.1028,0.0584,Ideology
BoW,C-L,AsylumSeekers,4,Sep,0.5658,10,C,L,2,0.6098,0.7002,0.0904,0.044,Ideology
BoW,C-L,AsylumSeekers,8,Apr,0.5892,10,C,L,2,0.6159,0.68,0.064,0.0267,Ideology
BoW,C-L,AsylumSeekers,8,Aug,0.5469,10,C,L,2,0.6088,0.6738,0.065,0.0619,Ideology
BoW,C-L,AsylumSeekers,8,Feb,0.6058,10,C,L,2,0.6553,0.6916,0.0363,0.0495,Ideology
BoW,C-L,AsylumSeekers,8,Jan,0.5839,10,C,L,2,0.6456,0.7089,0.0633,0.0617,Ideology
BoW,C-L,AsylumSeekers,8,Jul,0.5355,10,C,L,2,0.6059,0.6899,0.084,0.0704,Ideology
BoW,C-L,AsylumSeekers,8,Jun,0.5404,10,C,L,2,0.6301,0.6906,0.0605,0.0897,Ideology
BoW,C-L,AsylumSeekers,8,Mar,0.5397,10,C,L,2,0.6072,0.6774,0.0703,0.0675,Ideology
BoW,C-L,AsylumSeekers,8,May,0.5412,10,C,L,2,0.6226,0.6974,0.0748,0.0814,Ideology
BoW,C-L,AsylumSeekers,8,Sep,0.5906,10,C,L,2,0.6431,0.7002,0.0571,0.0525,Ideology
BoW,C-L,AsylumSeekers,16,Apr,0.5961,10,C,L,2,0.6534,0.68,0.0265,0.0573,Ideology
BoW,C-L,AsylumSeekers,16,Aug,0.5894,10,C,L,2,0.6375,0.6738,0.0363,0.0481,Ideology
BoW,C-L,AsylumSeekers,16,Feb,0.6164,10,C,L,2,0.6757,0.6916,0.0159,0.0593,Ideology
BoW,C-L,AsylumSeekers,16,Jan,0.6107,10,C,L,2,0.6641,0.7089,0.0448,0.0533,Ideology
BoW,C-L,AsylumSeekers,16,Jul,0.5438,10,C,L,2,0.6254,0.6899,0.0645,0.0816,Ideology
BoW,C-L,AsylumSeekers,16,Jun,0.5654,10,C,L,2,0.6465,0.6906,0.044,0.0812,Ideology
BoW,C-L,AsylumSeekers,16,Mar,0.581,10,C,L,2,0.651,0.6774,0.0264,0.07,Ideology
BoW,C-L,AsylumSeekers,16,May,0.5679,10,C,L,2,0.6649,0.6974,0.0324,0.097,Ideology
BoW,C-L,AsylumSeekers,16,Sep,0.6133,10,C,L,2,0.6635,0.7002,0.0367,0.0502,Ideology
BoW,C-L,AsylumSeekers,32,Apr,0.6381,10,C,L,2,0.6759,0.68,0.0041,0.0378,Ideology
BoW,C-L,AsylumSeekers,32,Aug,0.6019,10,C,L,2,0.6506,0.6738,0.0231,0.0488,Ideology
BoW,C-L,AsylumSeekers,32,Feb,0.6419,10,C,L,2,0.6762,0.6916,0.0154,0.0343,Ideology
BoW,C-L,AsylumSeekers,32,Jan,0.6168,10,C,L,2,0.6671,0.7089,0.0418,0.0503,Ideology
BoW,C-L,AsylumSeekers,32,Jul,0.5744,10,C,L,2,0.6439,0.6899,0.046,0.0695,Ideology
BoW,C-L,AsylumSeekers,32,Jun,0.6108,10,C,L,2,0.6884,0.6906,0.0021,0.0777,Ideology
BoW,C-L,AsylumSeekers,32,Mar,0.5845,10,C,L,2,0.6777,0.6774,-2e-04,0.0932,Ideology
BoW,C-L,AsylumSeekers,32,May,0.6309,10,C,L,2,0.6746,0.6974,0.0228,0.0436,Ideology
BoW,C-L,AsylumSeekers,32,Sep,0.6444,10,C,L,2,0.6746,0.7002,0.0256,0.0302,Ideology
BoW,C-L,ClimateChange,4,Apr,0.512,10,C,L,2,0.5878,0.7028,0.115,0.0758,Ideology
BoW,C-L,ClimateChange,4,Aug,0.5201,10,C,L,2,0.5748,0.682,0.1072,0.0547,Ideology
BoW,C-L,ClimateChange,4,Feb,0.5564,10,C,L,2,0.6071,0.6707,0.0636,0.0507,Ideology
BoW,C-L,ClimateChange,4,Jan,0.5222,10,C,L,2,0.6003,0.6907,0.0904,0.078,Ideology
BoW,C-L,ClimateChange,4,Jul,0.5113,10,C,L,2,0.5936,0.7042,0.1106,0.0823,Ideology
BoW,C-L,ClimateChange,4,Jun,0.517,10,C,L,2,0.5793,0.7023,0.1231,0.0622,Ideology
BoW,C-L,ClimateChange,4,Mar,0.5293,10,C,L,2,0.5747,0.6915,0.1168,0.0454,Ideology
BoW,C-L,ClimateChange,4,May,0.53,10,C,L,2,0.5871,0.7031,0.116,0.0571,Ideology
BoW,C-L,ClimateChange,4,Sep,0.5365,10,C,L,2,0.6056,0.7263,0.1207,0.0691,Ideology
BoW,C-L,ClimateChange,8,Apr,0.5259,10,C,L,2,0.6192,0.7028,0.0836,0.0933,Ideology
BoW,C-L,ClimateChange,8,Aug,0.5251,10,C,L,2,0.576,0.682,0.106,0.0509,Ideology
BoW,C-L,ClimateChange,8,Feb,0.5806,10,C,L,2,0.6023,0.6707,0.0683,0.0218,Ideology
BoW,C-L,ClimateChange,8,Jan,0.5347,10,C,L,2,0.5958,0.6907,0.0949,0.061,Ideology
BoW,C-L,ClimateChange,8,Jul,0.5403,10,C,L,2,0.6066,0.7042,0.0976,0.0663,Ideology
BoW,C-L,ClimateChange,8,Jun,0.5507,10,C,L,2,0.5922,0.7023,0.1101,0.0416,Ideology
